Day,TimePeriod,Time,LocationKey,Location,LocationShort,SSID,BSSID,RSSI,Channel,Quality
Tuesday,Morning,09:46,1,1 - Cafeteria (Crowded),1-Cafeteria,cafe@swu,00:03:7f:12:0e:c3,-39,36(42),Excellent
Tuesday,Morning,09:46,1,1 - Cafeteria (Crowded),1-Cafeteria,cafe@swu,00:03:7f:12:f2:97,-39,1,Excellent
Tuesday,Morning,09:46,1,1 - Cafeteria (Crowded),1-Cafeteria,WiFi(at)SWU,00:27:22:4c:52:4a,-52,11,Good
Tuesday,Morning,09:46,1,1 - Cafeteria (Crowded),1-Cafeteria,WiFi(at)SWU,00:27:22:4c:51:b3,-64,11,Fair
Tuesday,Morning,09:46,1,1 - Cafeteria (Crowded),1-Cafeteria,WiFi(at)SWU,24:a4:3c:d6:47:db,-73,11,Poor
Tuesday,Morning,09:49,2,2 - Behind Concrete Wall,2-Behind Wall,WiFi(at)SWU,24:a4:3c:48:08:a2,-37,11,Excellent
Tuesday,Morning,09:49,2,2 - Behind Concrete Wall,2-Behind Wall,WiFi(at)SWU,00:27:22:4c:52:4a,-64,11,Fair
Tuesday,Morning,09:49,2,2 - Behind Concrete Wall,2-Behind Wall,WiFi(at)SWU,b6:fb:e4:a4:9c:b2,-75,11,Poor
Tuesday,Morning,09:49,2,2 - Behind Concrete Wall,2-Behind Wall,cafe@swu,00:03:7f:12:f2:97,-77,1,Poor
Tuesday,Morning,09:51,3,3 - Main Hall (Transit),3-Main Hall,WiFi(at)SWU,00:27:22:4c:52:4a,-53,11,Good
Tuesday,Morning,09:51,3,3 - Main Hall (Transit),3-Main Hall,WiFi(at)SWU,00:27:22:4c:51:b3,-58,11,Good
Tuesday,Morning,09:51,3,3 - Main Hall (Transit),3-Main Hall,cafe@swu,00:03:7f:12:f2:97,-61,1,Fair
Tuesday,Morning,09:51,3,3 - Main Hall (Transit),3-Main Hall,cafe@swu,00:03:7f:12:0e:c3,-65,36(42),Fair
Tuesday,Morning,09:51,3,3 - Main Hall (Transit),3-Main Hall,WiFi(at)SWU,24:a4:3c:48:08:a2,-69,11,Fair
Tuesday,Morning,09:51,3,3 - Main Hall (Transit),3-Main Hall,Cultural_Tourism_Lab,a8:63:7d:d5:9b:94,-72,6,Poor
Tuesday,Morning,09:53,4,4 - Garden (Open Area),4-Garden,WiFi(at)SWU,00:27:22:4c:51:b3,-36,11,Excellent
Tuesday,Morning,09:53,4,4 - Garden (Open Area),4-Garden,WiFi(at)SWU,00:27:22:4c:52:4a,-56,11,Good
Tuesday,Morning,09:53,4,4 - Garden (Open Area),4-Garden,cafe@swu,00:03:7f:12:0e:c3,-63,36(42),Fair
Tuesday,Morning,09:53,4,4 - Garden (Open Area),4-Garden,cafe@swu,00:03:7f:12:f2:97,-68,1,Fair
Tuesday,Morning,10:03,5,5 - Basement (Dead Zone),5-Basement,Career,ec:75:0c:6a:38:77,-57,9,Good
Tuesday,Morning,10:03,5,5 - Basement (Dead Zone),5-Basement,WiFi(at)SWU,f0:9f:c2:31:e1:7a,-57,11,Good
Tuesday,Morning,10:03,5,5 - Basement (Dead Zone),5-Basement,WiFi(at)SWU,b6:fb:e4:a4:9c:b2,-58,11,Good
Tuesday,Morning,10:03,5,5 - Basement (Dead Zone),5-Basement,Career,ec:75:0c:6a:38:76,-63,36(42),Fair
Tuesday,Morning,10:03,5,5 - Basement (Dead Zone),5-Basement,WiFi(at)SWU,00:27:22:4c:51:b3,-64,11,Fair
Tuesday,Noon,12:27,1,1 - Cafeteria (Crowded),1-Cafeteria,cafe@swu,00:03:7f:12:f2:97,-32,1,Excellent
Tuesday,Noon,12:27,1,1 - Cafeteria (Crowded),1-Cafeteria,cafe@swu,00:03:7f:12:0e:c3,-35,36(42),Excellent
Tuesday,Noon,12:27,1,1 - Cafeteria (Crowded),1-Cafeteria,WiFi(at)SWU,00:27:22:4c:52:4a,-52,11,Good
Tuesday,Noon,12:27,1,1 - Cafeteria (Crowded),1-Cafeteria,WiFi(at)SWU,24:a4:3c:48:08:a2,-73,11,Poor
Tuesday,Noon,12:30,2,2 - Behind Concrete Wall,2-Behind Wall,WiFi(at)SWU,b6:fb:e4:a4:9c:b2,-53,11,Good
Tuesday,Noon,12:30,2,2 - Behind Concrete Wall,2-Behind Wall,WiFi(at)SWU,24:a4:3c:48:08:a2,-63,11,Fair
Tuesday,Noon,12:30,2,2 - Behind Concrete Wall,2-Behind Wall,WiFi(at)SWU,00:27:22:4c:51:b3,-66,11,Fair
Tuesday,Noon,12:30,2,2 - Behind Concrete Wall,2-Behind Wall,Career,ec:75:0c:6a:38:77,-69,9,Fair
Tuesday,Noon,12:32,3,3 - Main Hall (Transit),3-Main Hall,WiFi(at)SWU,00:27:22:4c:52:4a,-57,11,Good
Tuesday,Noon,12:32,3,3 - Main Hall (Transit),3-Main Hall,WiFi(at)SWU,00:27:22:4c:51:b3,-61,11,Fair
Tuesday,Noon,12:32,3,3 - Main Hall (Transit),3-Main Hall,cafe@swu,00:03:7f:12:f2:97,-66,1,Fair
Tuesday,Noon,12:32,3,3 - Main Hall (Transit),3-Main Hall,cafe@swu,00:03:7f:12:0e:c3,-69,36(42),Fair
Tuesday,Noon,12:33,4,4 - Garden (Open Area),4-Garden,WiFi(at)SWU,00:27:22:4c:51:b3,-38,11,Excellent
Tuesday,Noon,12:33,4,4 - Garden (Open Area),4-Garden,WiFi(at)SWU,00:27:22:4c:52:4a,-58,11,Good
Tuesday,Noon,12:33,4,4 - Garden (Open Area),4-Garden,WiFi(at)SWU,68:72:51:1a:96:ac,-61,11,Fair
Tuesday,Noon,12:33,4,4 - Garden (Open Area),4-Garden,WiFi(at)SWU,24:a4:3c:d6:47:db,-66,11,Fair
Tuesday,Noon,12:33,4,4 - Garden (Open Area),4-Garden,WiFi(at)SWU,24:a4:3c:48:07:dd,-67,11,Fair
Tuesday,Noon,12:35,5,5 - Basement (Dead Zone),5-Basement,WiFi(at)SWU,f0:9f:c2:31:e1:7a,-52,11,Good
